Nick,Mumbai.and.its.suburbs,Delhi.and.NCR,Kolkata,Chennai,Bengaluru,Hyderabad,Ahmedabad,Pune
PlainJane,3,6,2,2,6,6,2,6
plainvaingirl,6,7,1,3,6,6,2,5
Po,6,6,5,5,5,5,2,3
Po.ping,6,5,4,5,7,7,5,7
pocahontas,6,5,2,2,5,5,2,2
Poison,5,7,4,2,7,6,5,6
Poo,6,1,1,2,2,6,5,5
Popeye,5,6,1,2,4,6,4,4
Popeye1,1,7,6,5,5,5,5,5
POPEYE2,5,6,1,2,2,3,2,3
Popeye3,5,7,1,2,4,5,4,7
Popeye4,4,6,3,2,3,6,4,6
Prats,6,4,1,4,7,6,1,3
Princess.Consuela.Banana.Hammock,6,7,3,3,6,6,2,3
Rajjo,6,6,1,3,6,6,2,6
Rancho,6,2,2,2,6,6,2,6
Ritu,6,6,2,6,7,6,6,5
Rocky,4,6,5,4,5,7,6,6
Rocky1,7,2,3,1,6,6,5,6
Roronoa,5,4,2,5,6,6,5,6
Roscian,4,3,1,3,5,6,7,4
Russell,2,3,3,2,2,3,6,6
Saaboo,2,5,2,2,5,4,3,2
sage,3,1,1,3,1,6,3,6
sakura,6,3,5,3,7,5,2,4
Samurai.Jack,7,1,2,1,5,1,5,3
Samwise.Gamgee,7,6,1,1,2,6,3,5
SAP,1,5,1,4,6,6,1,1
Saranga,6,5,4,5,4,6,6,6
Scarlett,7,6,4,5,5,6,5,6
Scarlett.O'Hara,3,2,4,3,6,6,2,6
Scofield,7,3,3,3,5,5,6,5
Scooby,7,1,4,1,7,6,1,5
Scooby2,6,2,4,4,3,5,6,6
Scorpio,2,3,5,3,6,7,3,5
Severus.Snape,4,2,5,1,4,7,6,3
Shadow.Cat,7,3,1,5,7,5,1,5
Shaktiman,5,6,2,3,6,6,2,3
Sheldon.Cooper,4,3,3,5,7,6,2,3
Shrek,6,7,3,3,3,6,3,6
Sid,6,1,1,1,6,3,1,5
SilverSurfer,6,6,3,1,6,6,1,1
SK,5,5,4,3,5,6,3,5
skjdskd,4,5,2,5,5,7,5,5
slytherin,2,1,2,7,6,5,2,5
Smile,2,2,2,2,5,6,2,3
sona,7,6,3,2,7,6,6,6
Spiderman,4,4,1,2,4,5,2,5
Spiderman2,2,6,4,2,5,6,4,6
SrveyMonkey,5,6,3,1,7,7,1,5
Stone.Cold,7,1,1,1,4,6,4,2
Stupid-Monk,3,4,3,2,4,6,3,3
Su,7,5,2,1,6,4,1,4
Sully,1,1,1,7,6,3,1,1
Supertramp,3,1,1,3,6,6,1,3
Tal,1,2,1,2,5,7,6,5
The.Dark.Knight,4,2,1,2,6,7,1,6
The.Dark.Knight1,7,7,1,3,6,5,2,6
The.Dude,6,4,3,3,6,5,3,3
The.Joker,7,5,5,5,6,6,5,6
The.Rock,7,1,1,1,1,1,1,1
The.Tramp,4,3,1,7,4,5,3,3
Theodore,5,7,5,4,6,7,6,6
thirty-rnsl221,7,6,1,6,2,6,2,5
Thor,2,3,2,5,5,6,2,3
Tiana,2,3,2,5,5,7,2,6
Timon,6,7,5,3,7,5,3,4
Tin.Tin,5,1,3,5,5,5,3,5
TinTin,4,3,1,4,6,7,2,6
Tom-Jerry,7,7,3,3,5,7,4,7
ultraoptic,5,6,3,2,6,6,6,6
vaichh,5,5,2,2,4,5,2,6
vaseline,6,1,3,4,5,6,5,7
Vinz,3,6,6,6,6,6,2,4
WanderLust,4,1,2,3,7,7,3,3
Winner,5,5,1,1,5,5,1,4
ZOT,5,6,3,1,5,4,5,5
